Trading_Date,eTP01,eTP02,eTP03,eTP04,eTP05,eTP06,eTP07,eTP08,eTP09,eTP10,eTP11,eTP12,eTP13,eTP14,eTP15,eTP16,eTP17,eTP18,eTP19,eTP20,eTP21,eTP22,eTP23,eTP24,eTP25,eTP26,eTP27,eTP28,eTP29,eTP30,eTP31,eTP32,eTP33,eTP34,eTP35,eTP36,eTP37,eTP38,eTP39,eTP40,eTP41,eTP42,eTP43,eTP44,eTP45,eTP46,eTP47,eTP48,eTP49,eTP50,c_int01,c_int02,c_int03,c_int04,c_int05,c_int06,c_int07,c_int08,c_int09,c_int10,c_int11,c_int12,c_int13,c_int14,c_int15,c_int16,c_int17,c_int18,c_int19,c_int20,c_int21,c_int22,c_int23,c_int24,c_int25,c_int26,c_int27,c_int28,c_int29,c_int30,c_int31,c_int32,c_int33,c_int34,c_int35,c_int36,c_int37,c_int38,c_int39,c_int40,c_int41,c_int42,c_int43,c_int44,c_int45,c_int46,c_int47,c_int48,c_int49,c_int50
2019-01-01,163.66805077689997,170.3185382177,169.7624580091,170.60350180109998,170.7512999926,171.1435888965,167.0297425658,165.21618232219998,163.13581164470003,166.4119100442,169.7958563198,177.057571508,182.4818821239,169.73482465669997,164.1620790495,165.5404046554,147.2450319459,152.85652202070003,159.1018349842,158.35559499700003,162.4879930452,161.2453341757,165.8610958054,164.39702959049998,167.5893997793,166.9566704637,172.4725616408,171.77183354270002,171.6735375053,171.3670130479,175.1442539251,173.11298970299998,173.0085142744,171.2781383219,166.47268723980002,174.3376312424,162.07288830040002,165.00958189329998,163.97849816950003,163.8440888366,164.53037002230002,165.4514078433,166.144372574,165.9523862128,164.7931022349,159.6547569283,149.83589235000002,147.3328217,0.0,0.0,90.2353141399588,96.0270007294915,97.79785385906129,100.02955895531682,102.359201964883,104.28349579357189,102.93278652870586,102.57781061747284,101.31080297802862,102.47347459307677,102.05772672972223,104.25859421300319,105.76775554032744,95.87788912946581,89.5764598813551,87.61598673272918,75.71383443375746,75.98167780625901,77.12066891668607,75.29899515554435,76.0595129673145,75.3024914464931,77.48096185821112,77.08599561352193,78.75515298396337,79.02328365999178,82.47621809582093,82.77204236270642,82.81946516436523,82.4993117285292,83.48768121686881,81.76115268926578,81.07893116329035,79.45343263895953,76.92160792956267,79.45778457287321,74.78998249037494,76.28437096076806,76.97176731435042,78.06090859830324,79.70933058966475,80.60674677885105,80.06423198265739,81.04933804975293,82.3297091414647,82.42844952683677,79.21831267463409,80.81204368301782,,
2019-01-02,143.573901836,139.08520352120001,144.22365737450002,140.3137210036,138.4533570412,140.309506101,137.0001277783,141.052648755,140.8023705255,143.1661543431,146.1535155098,147.310646101,141.16786381960003,139.3347962654,136.1925085556,143.9221738585,150.4655403085,154.9616452707,155.07330406430003,154.48926058220002,171.13465251320002,173.21692768009999,166.7083429508,165.8281780793,164.8075035592,164.9604803106,172.0364725924,173.2799151019,172.86974671,171.6961414122,172.1964387777,175.5175616441,174.47822942460002,180.56648887240001,183.0472141343,184.207465306,184.6129112617,185.2454590655,182.81645436870002,185.36798224449998,194.66057518850002,195.4420048531,196.1626060454,196.7174025713,196.4314236557,190.57358936100002,178.248577,159.71557125,0.0,0.0,81.90989998336143,81.79642517729968,86.9565694232732,86.57181756305175,86.62540368952615,88.53260436527896,86.6842790601683,89.727430837147,89.42344292868137,89.84522125524656,88.91225358080902,87.3916002052166,81.4239288028729,78.15051313289985,73.24032919053904,74.73857301672632,74.72241815291005,74.0439237851066,72.44767851782801,70.99409831645595,77.89429907377274,79.09603002776622,76.23933768255705,76.6184574534976,76.30496773922869,77.13811788789086,80.97508951782946,82.36739532074924,81.96258770351285,80.99035933441338,80.4978352522993,81.20452606506359,79.80654970508785,81.31306556107954,81.3857882971101,80.90229601576671,81.61465729655397,82.24764693386322,82.52293452725323,85.28731227128321,91.28165101059,91.68976985931532,90.61607944673854,91.588773294868,94.58236026131338,95.1136878162313,91.6675218513332,85.75461180655373,,
2019-01-03,147.1922672292,140.1749845942,150.33369016950002,152.18034135050002,146.0731242995,152.7324709522,151.02891934660002,148.2513581698,155.77563204990003,151.23320565490002,154.98461400419998,154.2423326434,148.7192786735,152.32227861730001,163.0663749141,159.9483817035,167.26123210460003,180.1377948006,182.5677744748,182.7795511681,201.42769298629997,199.50365274269998,202.0820297724,202.88589371630002,201.12026440980003,199.43581574010003,201.8510227438,204.0548530034,204.50454760149998,203.99459194310003,204.0551300254,203.28857259440002,203.8104077197,204.3902024296,204.19492826629997,200.283327599,180.719145983,180.21496402270003,179.8936890322,180.39819685280003,181.87575236200001,182.8553869175,183.4352655907,184.231608951,182.67169889299998,178.8925874555,173.81581995,171.0583433,0.0,0.0,82.02742504894235,80.5045784147608,88.54069928649733,91.50177332188481,88.56920592165193,93.27225926835735,92.1742895944951,90.78208201773913,93.99747576422365,90.31233725338689,89.17461624717359,85.78149123592776,78.86937194786911,77.25206628657226,78.27264602903573,74.1237728978009,74.74625605545098,77.92858740134946,77.05392618455677,76.153058968879,83.67503349500352,82.8072856161688,83.71720561286405,84.06067614546836,83.54175968076284,83.62748464158437,84.95808837833665,86.2806857443011,86.16864893550759,85.53945211135462,84.10400140086531,83.19804493133884,83.0562840372998,82.82067673431234,83.30808801984813,80.86149773260138,74.11633033282439,74.4005545351145,75.65619851602752,77.49261595435233,79.60254886146878,80.49553774442467,80.71238926656389,82.40673005879829,84.15050290501627,85.39089758512735,85.53133320292879,87.40095352982817,,
2019-01-04,154.0864207809,153.6454412901,154.1528609363,152.24202480830002,148.7328871884,144.7170358073,145.5191099038,141.0143460836,144.3563476217,141.4012233068,149.5437629397,152.11984924770002,150.729419706,172.93897905740002,167.7417595891,174.6212245737,179.70878545189998,178.35993601259997,198.86305117950002,196.7164530586,202.20741052429997,206.27241505359999,206.71987513940002,210.543943914,213.7953972128,212.5426314488,222.64381799069997,224.682569071,224.6860267991,223.8867041337,224.22694445,223.66313602030002,225.0794885529,222.5541533441,222.3961203683,223.22254031639997,221.61042595499998,222.1606041693,223.27135349039997,213.51426029299998,212.10523339859998,218.1149355624,222.6002468428,220.11360547700002,217.42318044990003,216.62012088560002,216.33000115,208.82928905,0.0,0.0,81.5556605355504,83.88745830126985,86.21229329276964,86.79333957118341,85.84808366206829,84.38021679997894,85.15311950984749,82.99324545873863,84.42299401791911,81.95890802911752,83.85045319137454,82.22538347035291,77.7397245959107,85.36486404351281,78.51592980931794,78.05424565396382,77.48037334146973,74.6450544361067,81.60613264161312,80.2110204140385,82.08400025090268,84.00262680220501,84.56791485228761,86.69530152330037,88.7242285411962,88.70066425674003,93.33527482077623,94.71048928791295,94.69959066605634,94.16036434538182,94.06409226985282,93.61992705031128,93.45249050557948,91.65649365563485,91.36335587599702,91.40987106565781,91.94408244859333,92.48801169021242,94.41364117061383,92.12112639906067,93.41000847333473,96.60093398684131,97.8005494559967,97.45720047655422,98.71324509495693,101.70517582162452,104.33017230046501,104.53324480856244,,
2019-01-05,196.5191937885,184.1867005444,195.0760187532,191.6905708817,190.36553166829998,186.5876841767,184.8055369948,187.31002436749998,187.5549534535,187.64576702550002,192.56916948510002,197.8865115962,184.7024527444,180.93239116910001,187.73674648029998,204.0464729737,210.88403664429998,202.7871681918,218.8106143843,218.5505757539,220.3007757179,219.3840297161,219.07714233039997,216.04983774000002,212.9136823991,217.00002223020002,216.46315028559997,216.9581478534,217.7264430025,217.7360928342,217.8655579072,217.3720554667,217.5294138536,217.4264673216,217.5296130761,217.9448809646,217.68656927359999,206.1980209204,202.76622982299997,204.4088509765,204.8733517743,202.07969915010003,210.1058306581,210.4780259072,210.9701687549,199.8105529923,194.59409075000002,185.34139380000002,0.0,0.0,102.63954496872044,99.90212358700936,109.22133732770881,109.47036519265832,110.3300271945118,109.10970740201083,108.87423346560306,111.14758099521201,111.2803219263885,110.03163121865185,109.56497230904753,109.70487979446541,101.00143151501852,95.59607023748237,95.22213974004555,100.03505715696404,99.53963890472191,92.86327317334394,98.14006266849337,96.74434004867163,96.75480489838,96.70620487108356,96.60484587217357,95.46548853487644,94.1790262495135,97.08825180384554,97.45763357998212,98.49511759712925,98.8970047005179,98.75195993841037,97.94373276107305,97.09539928060836,96.20768803706564,94.94325089240073,94.25901930428842,93.77745205989356,94.37561685271346,89.69176598216765,89.56725105384886,92.06525487120385,93.78171700122772,93.0669522758595,95.22637864639918,96.08468651655292,98.63281915765117,96.8718288037821,96.59316949995629,95.0332033280958,,
2019-01-06,163.53911932929998,167.0745362463,169.98593638050002,148.6188926414,146.32480746340002,142.42063198969998,141.3118532683,137.92658375989998,142.1860126503,142.04124726060002,146.0306891716,147.67179037379998,142.237498452,156.4816409959,165.88080665950002,163.228438406,164.71929451750003,179.9858908141,188.6167567365,197.7097460381,201.6735840695,199.97105995980002,202.8567430183,200.2532578887,199.2195360269,199.24926850570003,200.51540623059998,197.33649991590002,198.57732445610003,201.1159567376,202.4096816645,202.72788025999998,202.21838512920002,202.86975113729997,203.3996328804,204.09491847139998,204.285994598,206.5557318902,206.90184334039998,206.9540890152,205.8457664818,204.92568823800002,203.2859788741,198.08538462159999,192.48747139129998,182.3688788572,181.5359037,177.38537409999998,0.0,0.0,87.21066627350729,91.90165491031497,96.3964987918721,86.38623212049083,86.15154292996638,84.79047909708858,84.61175839843774,83.10537110524496,85.50340547932781,84.69037463529521,85.04119489400297,83.99776527164008,79.86726180039813,85.68867084136413,87.48053290646706,83.26572865977317,80.51728927769324,84.76989698115486,86.40514850193851,88.50858089470604,89.73272555462495,89.1953679048898,90.43321870027481,89.46433718661349,89.01106172435094,89.62887083347836,90.6419552328193,90.06101629847497,90.64721230834422,91.56803791406757,91.178428831062,90.30191454677028,89.33892736022744,88.34660448544707,87.65083697424645,87.07041285356298,87.1390220729237,88.59604621219604,89.83313563457179,91.29422624976908,92.58539583943767,92.66205116492324,90.75038161480038,89.66962788319707,89.31011154289807,88.34871684832936,90.59443994295485,92.18723837473094,,
2019-01-07,151.6619362861,149.41243980660002,147.728120424,143.3541597285,143.2611439573,139.8063879074,139.5192079826,140.26931542170001,143.1617281929,146.7651786256,158.5787978583,174.3765259924,172.43743886709998,178.4282614841,179.9457646115,188.1103985684,191.4615674865,194.4703854345,193.878865096,190.7964599665,186.9489654628,186.56495776039998,192.8775547344,193.92209387049996,202.0326465484,194.10594292820002,185.78933182850002,182.1576768959,183.0763764731,180.6540360257,180.1287037841,180.4704064225,180.12924505549998,180.8073021683,181.59607624530003,190.3692787609,188.41973139529998,188.3721426037,193.2206810422,191.27137716820002,190.8370445105,189.40172892089998,189.77127274330002,189.0890227027,185.044202094,184.76586097990003,182.26743685,191.1275578,0.0,0.0,81.74736483781855,83.04027925900192,84.25662136197434,83.44427434796673,84.3789730745551,82.51782012324298,82.78706604358008,83.92459066202922,84.24109320502771,84.4978533816131,87.09651821498551,91.04505446895551,84.82250352131915,82.93768786560574,78.36612158087775,77.92517801338707,77.66136469394928,76.94039565101158,75.57468050177002,74.16943869238123,72.73880571632321,72.8699799985817,75.20595315625651,75.18534077324416,78.42335510442994,75.7446245497517,72.28918403812577,71.02153294517363,71.5784074393641,70.39287955574318,69.6843241384603,69.33245363130983,68.97104522310539,69.16692858609498,69.89685755479059,72.93351910819092,73.11335887569486,74.12910719934187,77.42098714788075,78.34175188181315,80.1758621764535,80.39466293608534,80.10765533811754,81.26213280429252,82.36229035496862,85.3457041499538,87.07745715859764,95.12670971952268,,
2019-01-08,188.4464265958,185.666272007,189.3692550687,195.52470306780003,189.2300428991,189.4347435429,192.68061877859998,194.4595670536,194.81057753840003,201.2876508573,197.2137963508,215.5682883723,233.6904558004,263.3493734854,259.4845003996,264.4935543681,276.9311252677,284.5507753662,274.820246778,281.8286247054,281.89953351720004,286.135275427,296.55557176620005,296.59582959740004,295.2085472164,297.6387206066,296.1442107862,296.10126067059997,302.7986110555,304.5522533691,303.8511587519,306.1315951221,306.4580746584,308.7317498794,297.311760809,294.9012656333,288.0761240374,282.2373615874,277.8925756968,276.8672233886,277.445758206,280.1230585778,281.6581796564,276.3255970181,267.0985039111,249.99827840280003,241.45740254999998,221.57987624999998,0.0,0.0,97.55532335093874,99.11753551391119,103.15013106963741,109.18455576603364,106.94947850082603,108.35058029153217,110.95904552714538,112.39117644979606,112.38442410132164,114.75340936894003,107.483043710774,112.20529945545015,115.14975416844254,121.92440878094303,112.76156805555385,110.28990643519337,111.29953873631891,112.39126523876561,107.90591700387034,110.50050521406477,111.27945751338436,111.71928420927888,115.55878608787202,115.65447343204585,115.10424735754656,116.43229616263442,116.42136695852271,116.2249118421311,118.8998814465048,118.85559159186026,117.32345477000297,117.29301998510417,117.57977013390513,117.8101268165713,113.65431733247506,112.6773328631764,111.68978817459346,110.41372525891539,110.94259517209237,113.23104125050979,116.17329398774929,118.24255412272251,118.1637403533008,117.49372304384768,117.34416260447914,114.79423277215967,115.09177049191906,110.10178898486403,,
2019-01-09,222.9725279379,216.845832412,211.4231899699,214.20900478470003,212.7433083066,212.6006702573,212.303158918,212.4029491882,213.61601805589999,213.6506227722,221.9254893343,228.0012324511,245.75086155120005,257.0859747429,273.0677479308,278.9328434069,289.52017161770004,298.2087556179,307.1646308025,317.1565067197,317.2694951528,315.3758674192,320.306445248,319.5884402463,318.87549210400005,316.64415541270006,323.5144359593,324.60743382320004,326.0485155161,325.8600587972,325.1970581194,325.45642268100005,325.92889221769997,325.98680566850004,326.68119824490003,325.73161959159995,324.67290807530003,325.64370407980005,319.99564706949997,309.4457436814,301.8988410894,300.65751193669996,297.98068157139994,297.3729062402,295.788688916,283.3094499468,263.31471665,251.07846635,0.0,0.0,115.63062385515029,116.21712363937853,116.98782646398881,121.18319377654973,122.08617560720138,123.1410892387957,123.70699073576444,124.3653562900952,124.15627845372344,121.70424210267106,120.83351257573997,118.07439811571025,118.85396187637697,117.07311117155034,117.07513865917429,114.14694793006981,115.2028721912715,116.74336214789811,120.36329843609582,123.28828334934165,123.21544639340702,122.57991404436878,124.34167539087805,123.84477443928421,123.76960371399441,123.18492332783087,126.55960116423742,127.2657243956814,127.2309984241361,126.19418543686578,125.56748990595435,124.96199036844095,124.51685478793607,124.31325795331702,124.84759679822568,124.7866665751224,126.62316181836309,128.2330715833046,128.78321467193837,127.34588857807061,126.54893267429482,126.5880407021856,125.05674996648641,126.50127823634286,129.8571377959013,129.475663105549,124.47201520392925,123.56758568856364,,
2019-01-10,232.2572019406,219.39799268960002,225.92714065180002,225.9154350931,206.0278666369,201.0097615809,201.78150804339998,194.1646009881,201.4236122533,204.23986124099997,220.05428897870001,229.9383633772,262.8548346717,273.4630940503,294.1392618328,294.679647428,300.8764781016,299.3974143378,303.67273276540004,306.4303304542,308.9680388844,316.1436204809,317.7953163152,317.9211978201,316.3237037441,315.7694064419,317.39652147230004,318.2529693304,318.2512125948,316.856539936,316.4754034415,316.1863214197,326.9159876701,324.5986948669,322.7444991117,324.9176489175,327.58482891899996,329.4854436657,329.812601206,319.7993054637,306.8507543323,298.6049065694,295.1964466324,295.3028573851,296.25914188030004,292.3326551915,268.1593991,249.38373755,0.0,0.0,119.09063139543905,115.62200630048186,122.6359299000653,125.31036118306213,115.84135198073307,114.52664984455198,115.7652688235695,111.65092856478077,114.56660065616063,113.99529183820535,117.6230546056597,116.97105765934504,127.1997893760923,124.16965525944678,125.17488837750057,119.90014485086778,118.40369258934315,115.8473025923017,116.65429987484676,117.43417906427874,118.60760380283176,121.26432874539354,122.4051397828943,122.44100669073731,121.99387441269127,121.6581498322485,122.70560471105725,123.66496370246296,123.80331348721158,122.6277539433164,121.57685694499062,120.69030353042046,124.38369401576543,123.189428043536,123.4670239009482,124.40473060245574,127.05831386022423,128.451127314253,131.28850914671207,130.22001334209793,127.51800971977988,125.18972773485702,123.85030348403694,125.32007199935899,129.74121799609583,133.87541021568097,127.0457277144518,122.64932481009401,,
