isWE,Trading_Period,ctct_1,ecot_1,elik_1,elik_2,elik_3,elik_4,flik_1,flik_2,gene_1,gene_2,geol_1,geol_2,merc_1,merc_2,merc_3,meri_1,meri_2,nova_1,pion_1,psnz_1,punz_1,swth_1,trus_1,trus_2
TRUE,4:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,4:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,5:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,5:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,6:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,6:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,7:00,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,7:30,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,8:00,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,8:30,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,9:00,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,9:30,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,10:00,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,10:30,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,11:00,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,11:30,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,12:00,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,12:30,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,13:00,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,13:30,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,14:00,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,14:30,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,15:00,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,15:30,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,16:00,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,16:30,0.276,0.181,0.248,0.258,0.189,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,17:00,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,17:30,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,18:00,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,18:30,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,19:00,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,19:30,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,20:00,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,20:30,0.276,0.181,0.248,0.258,0.286,0.258,0.301,20.76,0.27,0.3,0.229,0.252,0.33,0.324,0.323,0.261,0.0933,0.262,0.253,0.257,0.253,0.308,0.237,0.216
TRUE,21:00,0.108,0.181,0.248,0.258,0.189,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,21:30,0.108,0.181,0.248,0.258,0.189,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,22:00,0.108,0.181,0.248,0.258,0.189,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,22:30,0.108,0.181,0.248,0.258,0.189,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,23:00,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
TRUE,23:30,0.108,0.181,0.248,0.258,0.143,0.258,0.128,20.76,0.11,0.12,0.229,0.101,0.129,0.129,0.129,0.261,0.0933,0.133,0.14,0.154,0.14,0.143,0.237,0.216
