Station information:,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,
"Lincoln, Broadfield Ews",17603,H32645,-43.62622,172.4704,18,H,Niwa/Plant & Food Research,,,,
"Christchurch, Kyle St Ews",24120,H3256F,-43.53074,172.60769,6,H,Niwa,,,,
Sugar Loaf Aws,35136,H32669,-43.60369,172.64928,496,H,Metservice,,,,
Diamond Harbour Ews,40985,H32674,-43.63312,172.72808,122,H,Niwa,,,,
Bromley Ews,43967,H3257J,-43.52828,172.72096,3,H,Niwa,,,,
Cass Ews,44637,H31073,-43.03447,171.75999,571,H,Niwa,,,,
Christchurch Botanic Gardens Ews,44763,H3256Q,-43.5294,172.62,17,H,Niwa,,,,
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,
,,,,,,,,,,,
Max_min: Daily,,,,,,,,,,,
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
4843,11/01/20,19.3,24,13.8,24,14.1,24,-,-,-,D
17603,12/01/20,26.4,24,15.8,24,16.5,24,-,-,-,D
24120,12/01/20,28.1,24,16,24,-,-,-,-,-,D
35136,12/01/20,22.9,24,13.7,24,-,-,-,-,-,D
40985,12/01/20,25.8,24,15.1,24,15.9,24,-,-,-,D
43967,12/01/20,28.6,24,16,24,14.6,24,-,-,-,D
4843,12/01/20,29.1,24,16.1,24,15.6,24,-,-,-,D
17603,13/01/20,31,24,10.2,24,7.4,24,-,-,-,D
24120,13/01/20,31.9,24,12.7,24,-,-,-,-,-,D
35136,13/01/20,26.4,24,9.1,24,-,-,-,-,-,D
40985,13/01/20,30.3,24,11,24,7.8,24,-,-,-,D
43967,13/01/20,33.3,24,12.5,24,9.8,24,-,-,-,D
4843,13/01/20,31.9,24,10.9,24,9.3,24,-,-,-,D
17603,14/01/20,16.2,24,5.4,24,2.5,24,-,-,-,D
24120,14/01/20,19.4,24,8.6,24,-,-,-,-,-,D
35136,14/01/20,12.4,24,7.8,24,-,-,-,-,-,D
40985,14/01/20,17.7,24,8,24,4.1,24,-,-,-,D
43967,14/01/20,18.3,24,10.7,24,4.6,24,-,-,-,D
4843,14/01/20,19.3,24,5.6,24,1.2,24,-,-,-,D
17603,15/01/20,19.2,24,5,24,1.8,24,-,-,-,D
24120,15/01/20,19.3,24,7.6,24,-,-,-,-,-,D
35136,15/01/20,15.8,24,7.5,24,-,-,-,-,-,D
40985,15/01/20,18.3,24,7.3,24,3,24,-,-,-,D
43967,15/01/20,18.4,24,8.1,24,3.6,24,-,-,-,D
4843,15/01/20,19.9,24,4.4,24,0.4,24,-,-,-,D
17603,16/01/20,18.5,24,4.9,24,1.5,24,-,-,-,D
24120,16/01/20,18.9,24,7.9,24,-,-,-,-,-,D
35136,16/01/20,15.6,24,7.2,24,-,-,-,-,-,D
40985,16/01/20,18,24,9.5,24,6.3,24,-,-,-,D
43967,16/01/20,18.6,24,11.8,24,7.3,24,-,-,-,D
4843,16/01/20,19.4,24,3.7,24,0.1,24,-,-,-,D
17603,17/01/20,18.4,24,12.4,24,11,24,-,-,-,D
24120,17/01/20,18.5,24,12.9,24,-,-,-,-,-,D
35136,17/01/20,16.5,24,9.1,24,-,-,-,-,-,D
40985,17/01/20,17.3,24,12.3,24,12,24,-,-,-,D
43967,17/01/20,18.4,24,13.7,24,13.8,24,-,-,-,D
4843,17/01/20,19,24,11.3,24,11,24,-,-,-,D
17603,18/01/20,19.1,24,12.8,24,11,24,-,-,-,D
24120,18/01/20,19.6,24,13.9,24,-,-,-,-,-,D
35136,18/01/20,17.1,24,9.7,24,-,-,-,-,-,D
40985,18/01/20,19.3,24,12.7,24,12.1,24,-,-,-,D
43967,18/01/20,20.1,24,14.2,24,11.8,24,-,-,-,D
4843,18/01/20,20.4,24,10.7,24,9.6,24,-,-,-,D
17603,19/01/20,19.4,24,8,24,3.6,24,-,-,-,D
24120,19/01/20,19.8,24,11.3,24,-,-,-,-,-,D
35136,19/01/20,17.2,24,9.3,24,-,-,-,-,-,D
40985,19/01/20,18.6,24,11.1,24,7.8,24,-,-,-,D
43967,19/01/20,19.5,24,12.8,24,7.8,24,-,-,-,D
4843,19/01/20,20,24,5.4,24,1.2,24,-,-,-,D
17603,20/01/20,22,24,13.1,24,13.2,24,-,-,-,D
24120,20/01/20,21,24,13.7,24,-,-,-,-,-,D
35136,20/01/20,19.4,24,10.6,24,-,-,-,-,-,D
40985,20/01/20,19.7,24,12.7,24,13.2,24,-,-,-,D
43967,20/01/20,20.2,24,13.8,24,13.5,24,-,-,-,D
4843,20/01/20,21.1,24,12.2,24,8.2,24,-,-,-,D
17603,21/01/20,22.6,24,14.4,24,12.5,24,-,-,-,D
24120,21/01/20,21.3,24,15.2,24,-,-,-,-,-,D
35136,21/01/20,20.3,24,12.1,24,-,-,-,-,-,D
40985,21/01/20,20.6,24,14.6,24,12.4,24,-,-,-,D
43967,21/01/20,20.8,24,15.5,24,14.1,24,-,-,-,D
4843,21/01/20,21.1,24,13.8,24,15.5,24,-,-,-,D
17603,22/01/20,21.8,24,16.3,24,15.2,24,-,-,-,D
24120,22/01/20,22.3,24,16.6,24,-,-,-,-,-,D
35136,22/01/20,18.2,24,12.4,24,-,-,-,-,-,D
40985,22/01/20,21.6,24,15.6,24,15,24,-,-,-,D
43967,22/01/20,21.8,24,16.6,24,15.4,24,-,-,-,D
4843,22/01/20,22.6,24,16.3,24,15.4,24,-,-,-,D
17603,23/01/20,24.3,24,11.2,24,8.8,24,-,-,-,D
24120,23/01/20,23.5,24,13.6,24,-,-,-,-,-,D
35136,23/01/20,23,24,13.7,24,-,-,-,-,-,D
40985,23/01/20,23.8,24,14.6,24,11.5,24,-,-,-,D
43967,23/01/20,23.5,24,13.5,24,10.3,24,-,-,-,D
4843,23/01/20,22.9,24,10.3,24,7.9,24,-,-,-,D
17603,24/01/20,23.4,24,11.2,24,7.4,24,-,-,-,D
24120,24/01/20,27.4,24,14.6,24,-,-,-,-,-,D
35136,24/01/20,24.4,24,11.5,24,-,-,-,-,-,D
40985,24/01/20,25.4,24,14.5,24,12.8,24,-,-,-,D
43967,24/01/20,27.1,24,14.2,24,10,24,-,-,-,D
4843,24/01/20,26.7,24,12.7,24,7.9,24,-,-,-,D
17603,25/01/20,22.8,24,15.6,24,14.9,24,-,-,-,D
24120,25/01/20,21.8,24,16.2,24,-,-,-,-,-,D
35136,25/01/20,24,24,13.1,24,-,-,-,-,-,D
40985,25/01/20,21.7,24,13.9,24,11.6,24,-,-,-,D
43967,25/01/20,21.1,24,16.2,24,15.9,24,-,-,-,D
4843,25/01/20,22.6,24,15.8,24,16,24,-,-,-,D
17603,26/01/20,31.3,24,15.6,24,15.7,24,-,-,-,D
24120,26/01/20,27.8,24,15.9,24,-,-,-,-,-,D
35136,26/01/20,29.6,24,12.4,24,-,-,-,-,-,D
40985,26/01/20,27.1,24,14.2,24,12.7,24,-,-,-,D
43967,26/01/20,25.1,24,15.6,24,14.3,24,-,-,-,D
4843,26/01/20,29.3,24,15.7,24,15.6,24,-,-,-,D
17603,27/01/20,23.8,24,15.8,24,15.6,24,-,-,-,D
24120,27/01/20,24.1,24,16.4,24,-,-,-,-,-,D
35136,27/01/20,22.6,24,14.3,24,-,-,-,-,-,D
40985,27/01/20,23,24,14.9,24,13.4,24,-,-,-,D
43967,27/01/20,21.8,24,16.2,24,16.6,24,-,-,-,D
4843,27/01/20,24.9,24,16.1,24,16.5,24,-,-,-,D
17603,28/01/20,24.8,24,15.5,24,15.1,24,-,-,-,D
24120,28/01/20,27.4,24,15.7,24,-,-,-,-,-,D
35136,28/01/20,25.8,24,13.7,24,-,-,-,-,-,D
40985,28/01/20,26.9,24,13.6,24,11.1,24,-,-,-,D
43967,28/01/20,22.1,24,15.9,24,14.4,24,-,-,-,D
4843,28/01/20,29.7,24,15.7,24,15.3,24,-,-,-,D
17603,29/01/20,21.4,24,16.1,24,15.6,24,-,-,-,D
24120,29/01/20,25.7,24,16.3,24,-,-,-,-,-,D
35136,29/01/20,23.2,24,12.6,24,-,-,-,-,-,D
40985,29/01/20,24.2,24,14.8,24,14.5,24,-,-,-,D
43967,29/01/20,25,24,16.5,24,16.1,24,-,-,-,D
4843,29/01/20,24.4,24,16,24,15.5,24,-,-,-,D
17603,30/01/20,29.6,24,13.1,24,11.2,24,-,-,-,D
24120,30/01/20,29.4,24,14.2,24,-,-,-,-,-,D
35136,30/01/20,25.4,24,10.6,24,-,-,-,-,-,D
40985,30/01/20,29.8,24,13.8,24,13,24,-,-,-,D
43967,30/01/20,26.8,24,14.2,24,13.2,24,-,-,-,D
4843,30/01/20,31.7,24,14,24,13.1,24,-,-,-,D
17603,31/01/20,25.3,24,15.2,24,16.4,24,-,-,-,D
24120,31/01/20,24.9,24,14.8,24,-,-,-,-,-,D
35136,31/01/20,21.3,24,10.2,24,-,-,-,-,-,D
40985,31/01/20,24.9,24,13.9,24,12.6,24,-,-,-,D
43967,31/01/20,24.8,24,14.4,24,13.6,24,-,-,-,D
4843,31/01/20,24.8,24,14.5,24,11.6,24,-,-,-,D
17603,01/02/20,22,24,11.2,24,7.4,24,-,-,-,D
24120,01/02/20,22.4,24,14.8,24,-,-,-,-,-,D
35136,01/02/20,17.7,24,10.4,24,-,-,-,-,-,D
40985,01/02/20,22.9,24,12.8,24,10.4,24,-,-,-,D
43967,01/02/20,22.3,24,15.3,24,13.3,24,-,-,-,D
4843,01/02/20,20.9,24,13.1,24,10.8,24,-,-,-,D
17603,02/02/20,27.8,24,16.5,24,16.8,24,-,-,-,D
24120,02/02/20,28.2,24,16.5,24,-,-,-,-,-,D
35136,02/02/20,23.2,24,11.7,24,-,-,-,-,-,D
40985,02/02/20,27,24,15.2,24,15.2,24,-,-,-,D
43967,02/02/20,28.1,24,16.4,24,15.3,24,-,-,-,D
4843,02/02/20,28.3,24,16.8,24,16.3,24,-,-,-,D
17603,03/02/20,35.6,24,15.4,24,13,24,-,-,-,D
24120,03/02/20,36.4,24,19.1,24,-,-,-,-,-,D
35136,03/02/20,31.1,24,21.3,24,-,-,-,-,-,D
40985,03/02/20,35,24,23,24,18,24,-,-,-,D
43967,03/02/20,36.5,24,21.4,24,15.7,24,-,-,-,D
4843,03/02/20,35.6,24,19.9,24,15.4,24,-,-,-,D
17603,04/02/20,30.1,24,18.4,24,17.2,24,-,-,-,D
24120,04/02/20,30,24,20.6,24,-,-,-,-,-,D
35136,04/02/20,25.5,24,20.1,24,-,-,-,-,-,D
40985,04/02/20,29.2,24,21.1,24,17.2,24,-,-,-,D
43967,04/02/20,30.1,24,19.9,24,15.5,24,-,-,-,D
4843,04/02/20,30.3,24,19,24,13.8,24,-,-,-,D
17603,05/02/20,21.6,24,9.6,24,9.5,24,-,-,-,D
24120,05/02/20,30.8,24,10,24,-,-,-,-,-,D
35136,05/02/20,26,24,6.1,24,-,-,-,-,-,D
40985,05/02/20,29.4,24,8.7,24,8.1,24,-,-,-,D
43967,05/02/20,31.6,24,10.7,24,9.8,24,-,-,-,D
4843,05/02/20,30,24,9.6,24,9.3,24,-,-,-,D
17603,06/02/20,17.4,24,10.7,24,8.8,24,-,-,-,D
24120,06/02/20,17,24,9.8,24,-,-,-,-,-,D
35136,06/02/20,14.5,24,7.4,24,-,-,-,-,-,D
40985,06/02/20,17.6,24,10.3,24,5.9,24,-,-,-,D
43967,06/02/20,17.2,24,11.8,24,7.6,24,-,-,-,D
4843,06/02/20,17,24,5.9,24,3,24,-,-,-,D
17603,07/02/20,22.2,24,11.1,24,9.5,24,-,-,-,D
24120,07/02/20,25.2,24,11.3,24,-,-,-,-,-,D
35136,07/02/20,22.7,24,8.1,24,-,-,-,-,-,D
40985,07/02/20,24.1,24,10.2,24,10.4,24,-,-,-,D
43967,07/02/20,25.3,24,11.4,24,11.6,24,-,-,-,D
4843,07/02/20,24.5,24,11.1,24,10.8,24,-,-,-,D
17603,08/02/20,18.7,24,7.6,24,4.5,24,-,-,-,D
24120,08/02/20,19.2,24,11,24,-,-,-,-,-,D
35136,08/02/20,14.8,24,9,24,-,-,-,-,-,D
40985,08/02/20,17.9,24,11.5,24,8.2,24,-,-,-,D
43967,08/02/20,18.9,24,12.2,24,10.4,24,-,-,-,D
4843,08/02/20,19.5,24,7.9,24,4.4,24,-,-,-,D
17603,09/02/20,16.6,24,4.1,24,0.1,24,-,-,-,D
24120,09/02/20,19,24,5.4,24,-,-,-,-,-,D
35136,09/02/20,12.8,24,6.4,24,-,-,-,-,-,D
40985,09/02/20,15.4,24,6.5,24,2.3,24,-,-,-,D
43967,09/02/20,18.6,24,6.2,24,2.5,24,-,-,-,D
4843,09/02/20,19.1,24,2.6,24,-1.2,24,-,-,-,D
17603,10/02/20,21.2,24,6.6,24,3.2,24,-,-,-,D
24120,10/02/20,23.4,24,8.7,24,-,-,-,-,-,D
35136,10/02/20,20.2,24,9,24,-,-,-,-,-,D
40985,10/02/20,20.8,24,8.6,24,4.4,24,-,-,-,D
43967,10/02/20,23.6,24,7.9,24,3.7,24,-,-,-,D
4843,10/02/20,22.8,24,7.1,24,2.2,24,-,-,-,D
17603,11/02/20,23.7,24,6.6,24,3.5,24,-,-,-,D
24120,11/02/20,23.3,24,10.5,24,-,-,-,-,-,D
35136,11/02/20,20.3,24,10.5,24,-,-,-,-,-,D
40985,11/02/20,21,24,11,24,6.4,24,-,-,-,D
43967,11/02/20,20.8,24,10.3,24,6,24,-,-,-,D
4843,11/02/20,23.8,24,7.7,24,4.4,24,-,-,-,D
17603,12/02/20,20,24,13,24,12.3,24,-,-,-,D
24120,12/02/20,25.2,24,12.8,24,-,-,-,-,-,D
35136,12/02/20,21.5,24,9.4,24,-,-,-,-,-,D
40985,12/02/20,23.3,24,10.5,24,7.6,24,-,-,-,D
43967,12/02/20,21.1,24,11.2,24,8.5,24,-,-,-,D
4843,12/02/20,23.7,24,11.9,24,8.9,24,-,-,-,D
17603,13/02/20,20.1,24,14.4,24,13.9,24,-,-,-,D
24120,13/02/20,20,24,15,24,-,-,-,-,-,D
35136,13/02/20,17.7,24,11,24,-,-,-,-,-,D
40985,13/02/20,19.2,24,13.8,24,11.9,24,-,-,-,D
43967,13/02/20,19.3,24,15.1,24,14,24,-,-,-,D
4843,13/02/20,20.7,24,14.8,24,13.4,24,-,-,-,D
17603,14/02/20,24.8,24,11.5,24,11.6,24,-,-,-,D
24120,14/02/20,25.3,24,12.4,24,-,-,-,-,-,D
35136,14/02/20,24.1,24,9.1,24,-,-,-,-,-,D
40985,14/02/20,24.1,24,11.5,24,12,24,-,-,-,D
43967,14/02/20,23.2,24,12.3,24,12.4,24,-,-,-,D
4843,14/02/20,26.3,24,11.9,24,11.6,24,-,-,-,D
17603,15/02/20,17.5,24,12.2,24,13.2,24,-,-,-,D
24120,15/02/20,15.8,24,12.7,24,-,-,-,-,-,D
35136,15/02/20,12,24,9,24,-,-,-,-,-,D
40985,15/02/20,16.9,24,11.4,24,12.2,24,-,-,-,D
43967,15/02/20,16.2,24,12.8,24,12.8,24,-,-,-,D
4843,15/02/20,15.3,24,12.1,24,12.6,24,-,-,-,D
17603,16/02/20,20.4,24,14.4,24,12.9,24,-,-,-,D
24120,16/02/20,21.2,24,14.4,24,-,-,-,-,-,D
35136,16/02/20,19,24,11.7,24,-,-,-,-,-,D
40985,16/02/20,21.4,24,14.3,24,12.1,24,-,-,-,D
43967,16/02/20,20.7,24,16.2,24,13.9,24,-,-,-,D
4843,16/02/20,21.4,24,13.5,24,11.3,24,-,-,-,D
17603,17/02/20,28.4,24,19.5,24,17.6,24,-,-,-,D
24120,17/02/20,28.1,24,19.5,24,-,-,-,-,-,D
35136,17/02/20,22.6,24,17.7,24,-,-,-,-,-,D
40985,17/02/20,26.8,24,19.1,24,18.7,24,-,-,-,D
43967,17/02/20,27.4,24,19.2,24,17.7,24,-,-,-,D
4843,17/02/20,28.8,24,18.9,24,15.6,24,-,-,-,D
17603,18/02/20,33.7,24,12.7,24,10.8,24,-,-,-,D
24120,18/02/20,34,24,15.6,24,-,-,-,-,-,D
35136,18/02/20,28.7,24,18.3,24,-,-,-,-,-,D
40985,18/02/20,32.6,24,15.6,24,14.9,24,-,-,-,D
43967,18/02/20,32.1,24,16.4,24,15.5,24,-,-,-,D
4843,18/02/20,33.6,24,14.5,24,11.5,24,-,-,-,D
17603,19/02/20,25.2,24,13.8,24,12,24,-,-,-,D
24120,19/02/20,23.7,24,12.6,24,-,-,-,-,-,D
35136,19/02/20,24,24,17.2,24,-,-,-,-,-,D
40985,19/02/20,23,24,16.9,24,12,24,-,-,-,D
43967,19/02/20,22.4,24,13,24,9.7,24,-,-,-,D
4843,19/02/20,25.3,24,10.1,24,6.4,24,-,-,-,D
17603,20/02/20,22.1,24,9.7,24,6.5,24,-,-,-,D
24120,20/02/20,26,24,12.4,24,-,-,-,-,-,D
35136,20/02/20,23.9,24,10.4,24,-,-,-,-,-,D
40985,20/02/20,25.2,24,11.8,24,7.2,24,-,-,-,D
43967,20/02/20,22.7,24,11.9,24,7.3,24,-,-,-,D
4843,20/02/20,26.2,24,8.5,24,5.2,24,-,-,-,D
17603,21/02/20,20,24,14.2,24,15.1,24,-,-,-,D
24120,21/02/20,21.8,24,15.9,24,-,-,-,-,-,D
35136,21/02/20,18.6,24,11.5,24,-,-,-,-,-,D
40985,21/02/20,21.4,24,14.8,24,13.5,24,-,-,-,D
43967,21/02/20,22.1,24,16.2,24,15.4,24,-,-,-,D
4843,21/02/20,21.4,24,15.3,24,14,24,-,-,-,D
17603,22/02/20,31.5,24,12.2,24,10,24,-,-,-,D
24120,22/02/20,30.5,24,12,24,-,-,-,-,-,D
35136,22/02/20,25.1,24,10.6,24,-,-,-,-,-,D
40985,22/02/20,27.3,24,11.4,24,8,24,-,-,-,D
43967,22/02/20,30.1,24,11.1,24,7.3,24,-,-,-,D
4843,22/02/20,32.5,24,11.5,24,9.5,24,-,-,-,D
17603,23/02/20,18.4,24,5.8,24,3.2,24,-,-,-,D
24120,23/02/20,21.4,24,8.4,24,-,-,-,-,-,D
35136,23/02/20,18.5,24,6.9,24,-,-,-,-,-,D
40985,23/02/20,18.7,24,7.6,24,5.1,24,-,-,-,D
43967,23/02/20,21.2,24,8.8,24,5.4,24,-,-,-,D
4843,23/02/20,20.8,24,6.9,24,3.1,24,-,-,-,D
17603,24/02/20,22,24,11.1,24,9.2,24,-,-,-,D
24120,24/02/20,22.4,24,11.8,24,-,-,-,-,-,D
35136,24/02/20,17.2,24,8.9,24,-,-,-,-,-,D
40985,24/02/20,21,24,11.6,24,10.7,24,-,-,-,D
43967,24/02/20,19.9,24,12.6,24,12.4,24,-,-,-,D
4843,24/02/20,21.5,24,9.5,24,6.9,24,-,-,-,D
17603,25/02/20,20.9,24,10.2,24,6.9,24,-,-,-,D
24120,25/02/20,20.9,24,15,24,-,-,-,-,-,D
35136,25/02/20,17.5,24,11.3,24,-,-,-,-,-,D
40985,25/02/20,20.9,24,14.3,24,12.8,24,-,-,-,D
43967,25/02/20,20.7,24,16.1,24,15.1,24,-,-,-,D
4843,25/02/20,22.3,24,14.7,24,14.3,24,-,-,-,D
17603,26/02/20,21.1,24,14.2,24,14.5,24,-,-,-,D
24120,26/02/20,21.3,24,15.4,24,-,-,-,-,-,D
35136,26/02/20,18.1,24,11.9,24,-,-,-,-,-,D
40985,26/02/20,21.1,24,14.7,24,14.7,24,-,-,-,D
43967,26/02/20,21.4,24,16.5,24,15.5,24,-,-,-,D
4843,26/02/20,19.3,24,14,24,13.6,24,-,-,-,D
17603,27/02/20,20.9,24,13.8,24,11.4,24,-,-,-,D
24120,27/02/20,21,24,15.2,24,-,-,-,-,-,D
35136,27/02/20,19.7,24,12.4,24,-,-,-,-,-,D
40985,27/02/20,21.4,24,14.8,24,12.4,24,-,-,-,D
43967,27/02/20,21,24,15.9,24,13.2,24,-,-,-,D
4843,27/02/20,21.3,24,12.6,24,9.2,24,-,-,-,D
17603,28/02/20,25.3,24,9.4,24,7,24,-,-,-,D
24120,28/02/20,26.9,24,12.1,24,-,-,-,-,-,D
35136,28/02/20,22.8,24,13.8,24,-,-,-,-,-,D
40985,28/02/20,27.2,24,13.2,24,10,24,-,-,-,D
43967,28/02/20,27.6,24,11.8,24,8.4,24,-,-,-,D
4843,28/02/20,25.9,24,9.6,24,6.6,24,-,-,-,D
17603,29/02/20,31,24,12.8,24,12.4,24,-,-,-,D
24120,29/02/20,32,24,13.5,24,-,-,-,-,-,D
35136,29/02/20,26.7,24,9.5,24,-,-,-,-,-,D
40985,29/02/20,29.9,24,13.3,24,12,24,-,-,-,D
43967,29/02/20,30.6,24,13.5,24,12.2,24,-,-,-,D
4843,29/02/20,31.7,24,12.7,24,11.6,24,-,-,-,D
17603,01/03/20,19,24,12.5,24,11.2,24,-,-,-,D
24120,01/03/20,21,24,12.9,24,-,-,-,-,-,D
35136,01/03/20,17.9,24,8.1,24,-,-,-,-,-,D
40985,01/03/20,18.9,24,11.5,24,10.2,24,-,-,-,D
43967,01/03/20,19.5,24,13.2,24,11.7,24,-,-,-,D
4843,01/03/20,19.7,24,7.8,24,2.6,24,-,-,-,D
17603,02/03/20,21.3,24,15.8,24,14.8,24,-,-,-,D
24120,02/03/20,20.4,24,16,24,-,-,-,-,-,D
35136,02/03/20,18,24,12,24,-,-,-,-,-,D
40985,02/03/20,20.9,24,14.9,24,14.1,24,-,-,-,D
43967,02/03/20,20.6,24,16.2,24,14.8,24,-,-,-,D
4843,02/03/20,21.8,24,13.6,24,14.4,24,-,-,-,D
17603,03/03/20,22.9,24,16.9,24,15,24,-,-,-,D
24120,03/03/20,23.2,24,14.3,24,-,-,-,-,-,D
35136,03/03/20,20.8,24,12.5,24,-,-,-,-,-,D
40985,03/03/20,24.4,24,16.1,24,14.7,24,-,-,-,D
43967,03/03/20,24.6,24,16.4,24,12.4,24,-,-,-,D
4843,03/03/20,23.5,24,13.9,24,9.6,24,-,-,-,D
17603,04/03/20,29.5,24,10.4,24,10,24,-,-,-,D
24120,04/03/20,31.2,24,11.7,24,-,-,-,-,-,D
35136,04/03/20,25.8,24,6.9,24,-,-,-,-,-,D
40985,04/03/20,29.6,24,10.8,24,10.8,24,-,-,-,D
43967,04/03/20,32.2,24,11,24,10.3,24,-,-,-,D
4843,04/03/20,30.8,24,10.7,24,9.8,24,-,-,-,D
17603,05/03/20,16,24,2.3,24,-1.8,24,-,-,-,D
24120,05/03/20,17.3,24,5,24,-,-,-,-,-,D
35136,05/03/20,13.5,24,6.5,24,-,-,-,-,-,D
40985,05/03/20,15.4,24,5.4,24,0.7,24,-,-,-,D
43967,05/03/20,17.5,24,7.4,24,-0.1,24,-,-,-,D
4843,05/03/20,17.3,24,0.9,24,-2.6,24,-,-,-,D
17603,06/03/20,17.7,24,8.6,24,6.1,24,-,-,-,D
24120,06/03/20,18.2,24,8.2,24,-,-,-,-,-,D
35136,06/03/20,13.4,24,8,24,-,-,-,-,-,D
40985,06/03/20,17.6,24,11.3,24,9.3,24,-,-,-,D
43967,06/03/20,17.8,24,8,24,2.4,24,-,-,-,D
4843,06/03/20,18,24,5.8,24,1.1,24,-,-,-,D
17603,07/03/20,18.9,24,12.9,24,13.5,24,-,-,-,D
24120,07/03/20,19.1,24,12.5,24,-,-,-,-,-,D
35136,07/03/20,14.3,24,10,24,-,-,-,-,-,D
40985,07/03/20,18.6,24,13.2,24,13.3,24,-,-,-,D
43967,07/03/20,19.6,24,14,24,13.4,24,-,-,-,D
4843,07/03/20,20.4,24,11.3,24,11,24,-,-,-,D
17603,08/03/20,23.7,24,11.4,24,9,24,-,-,-,D
24120,08/03/20,22,24,12.4,24,-,-,-,-,-,D
35136,08/03/20,21.9,24,11.3,24,-,-,-,-,-,D
40985,08/03/20,20.6,24,12.2,24,8.3,24,-,-,-,D
43967,08/03/20,20.8,24,13.6,24,10.3,24,-,-,-,D
4843,08/03/20,23.7,24,10.2,24,5.4,24,-,-,-,D
17603,09/03/20,20.1,24,15.1,24,14.4,24,-,-,-,D
24120,09/03/20,23.1,24,15.1,24,-,-,-,-,-,D
35136,09/03/20,20.1,24,11.5,24,-,-,-,-,-,D
40985,09/03/20,21,24,14.3,24,13,24,-,-,-,D
43967,09/03/20,23.6,24,15.7,24,14.1,24,-,-,-,D
4843,09/03/20,22.5,24,14.1,24,12.2,24,-,-,-,D
17603,10/03/20,28.6,24,11.7,24,7.1,24,-,-,-,D
24120,10/03/20,29.5,24,13.8,24,-,-,-,-,-,D
35136,10/03/20,24.7,24,10.3,24,-,-,-,-,-,D
40985,10/03/20,28.9,24,12.6,24,12.7,24,-,-,-,D
43967,10/03/20,30.7,24,14,24,12.4,24,-,-,-,D
4843,10/03/20,29.5,24,13.4,24,12.4,24,-,-,-,D
17603,11/03/20,18.2,24,10.6,24,10.1,24,-,-,-,D
24120,11/03/20,17.5,24,11.1,24,-,-,-,-,-,D
35136,11/03/20,12,24,6.2,24,-,-,-,-,-,D
40985,11/03/20,15.1,24,10,24,8,24,-,-,-,D
43967,11/03/20,18.2,24,11.6,24,10.5,24,-,-,-,D
4843,11/03/20,17.4,24,10.3,24,9.5,24,-,-,-,D
17603,12/03/20,13.2,24,10.3,24,9.9,24,-,-,-,D
24120,12/03/20,15.1,24,11,24,-,-,-,-,-,D
35136,12/03/20,9.4,24,6.8,24,-,-,-,-,-,D
40985,12/03/20,12.4,24,10.1,24,9.9,24,-,-,-,D
43967,12/03/20,14.8,24,11.4,24,11,24,-,-,-,D
4843,12/03/20,14.3,24,10.4,24,10.3,24,-,-,-,D
17603,13/03/20,18.6,24,8.4,24,5,24,-,-,-,D
24120,13/03/20,21.5,24,10.7,24,-,-,-,-,-,D
35136,13/03/20,17.4,24,7.8,24,-,-,-,-,-,D
40985,13/03/20,18.9,24,9.6,24,7.2,24,-,-,-,D
43967,13/03/20,19.5,24,12.1,24,9.8,24,-,-,-,D
4843,13/03/20,20.7,24,6.7,24,3.1,24,-,-,-,D
17603,14/03/20,17.8,24,12.5,24,11.6,24,-,-,-,D
24120,14/03/20,17.8,24,13.1,24,-,-,-,-,-,D
35136,14/03/20,14.9,24,9,24,-,-,-,-,-,D
40985,14/03/20,17.9,24,12.4,24,12.2,24,-,-,-,D
43967,14/03/20,18.5,24,13.9,24,13.1,24,-,-,-,D
4843,14/03/20,18.6,24,11.6,24,11.7,24,-,-,-,D
17603,15/03/20,20,24,10.3,24,7.5,24,-,-,-,D
24120,15/03/20,19.2,24,12.9,24,-,-,-,-,-,D
35136,15/03/20,17,24,10.4,24,-,-,-,-,-,D
40985,15/03/20,19.8,24,11,24,7.1,24,-,-,-,D
43967,15/03/20,19,24,12.8,24,7,24,-,-,-,D
4843,15/03/20,19.4,24,13.7,24,13.6,24,-,-,-,D
17603,16/03/20,18.9,24,9.8,24,7.1,24,-,-,-,D
24120,16/03/20,19.1,24,11.7,24,-,-,-,-,-,D
35136,16/03/20,16.5,24,11.3,24,-,-,-,-,-,D
40985,16/03/20,19.2,24,13.3,24,10,24,-,-,-,D
43967,16/03/20,19.5,24,12.2,24,8.2,24,-,-,-,D
4843,16/03/20,20.3,24,9.4,24,5.9,24,-,-,-,D
17603,17/03/20,20.2,24,8.6,24,8.2,24,-,-,-,D
24120,17/03/20,22.3,24,9.5,24,-,-,-,-,-,D
35136,17/03/20,18.3,24,6.1,24,-,-,-,-,-,D
