Station information:,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,
"Lincoln, Broadfield Ews",17603,H32645,-43.62622,172.4704,18,H,Niwa/Plant & Food Research,,,,
"Christchurch, Kyle St Ews",24120,H3256F,-43.53074,172.60769,6,H,Niwa,,,,
Sugar Loaf Aws,35136,H32669,-43.60369,172.64928,496,H,Metservice,,,,
Diamond Harbour Ews,40985,H32674,-43.63312,172.72808,122,H,Niwa,,,,
Bromley Ews,43967,H3257J,-43.52828,172.72096,3,H,Niwa,,,,
Cass Ews,44637,H31073,-43.03447,171.75999,571,H,Niwa,,,,
Christchurch Botanic Gardens Ews,44763,H3256Q,-43.5294,172.62,17,H,Niwa,,,,
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,
,,,,,,,,,,,
Max_min: Daily,,,,,,,,,,,
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
17603,16/01/19,17.8,24,8.6,24,5.5,24,-,-,-,D
24120,16/01/19,20.3,24,9.7,24,-,-,-,-,-,D
35136,16/01/19,16.1,24,8.5,24,-,-,-,-,-,D
40985,16/01/19,18.6,24,9,24,6.3,24,-,-,-,D
4843,16/01/19,18.8,24,8.3,24,7.4,24,-,-,-,D
17603,17/01/19,19.4,24,14.1,24,12.9,24,-,-,-,D
24120,17/01/19,20.4,24,14.8,24,-,-,-,-,-,D
35136,17/01/19,17.1,24,10.5,24,-,-,-,-,-,D
40985,17/01/19,20.2,24,13.4,24,12.5,24,-,-,-,D
4843,17/01/19,20.3,24,14.2,24,13.2,24,-,-,-,D
17603,18/01/19,22.3,24,15,24,15,24,-,-,-,D
24120,18/01/19,22.1,24,15.5,24,-,-,-,-,-,D
35136,18/01/19,20.9,24,12.4,24,-,-,-,-,-,D
40985,18/01/19,23.5,24,16,24,16.1,24,-,-,-,D
4843,18/01/19,22.3,24,15,24,15.2,24,-,-,-,D
17603,19/01/19,19.4,24,14.3,24,11.8,24,-,-,-,D
24120,19/01/19,21.9,24,16.6,24,-,-,-,-,-,D
35136,19/01/19,17.6,24,13,24,-,-,-,-,-,D
40985,19/01/19,21.6,24,16.5,24,15.5,24,-,-,-,D
4843,19/01/19,21.3,24,15.5,24,14.2,24,-,-,-,D
17603,20/01/19,30.1,24,8.6,24,4.1,24,-,-,-,D
24120,20/01/19,32.4,24,12.2,24,-,-,-,-,-,D
35136,20/01/19,25.7,24,12.5,24,-,-,-,-,-,D
40985,20/01/19,31.2,24,14.5,24,8.8,24,-,-,-,D
4843,20/01/19,31.8,24,12,24,8.7,24,-,-,-,D
17603,21/01/19,24.6,24,10.7,24,7.3,24,-,-,-,D
24120,21/01/19,26.2,24,14.7,24,-,-,-,-,-,D
35136,21/01/19,21.5,24,14,24,-,-,-,-,-,D
40985,21/01/19,25.2,24,14.4,24,10.6,24,-,-,-,D
4843,21/01/19,26.2,24,14.3,24,10.4,24,-,-,-,D
